facet,year,series,value
East Asia,2018,Hong Kong,37.4561453373569
East Asia,2018,Indonesia,74.0839690737948
East Asia,2018,Japan,44.1264836706064
East Asia,2018,Philippines,65.4509059583536
East Asia,2018,S Korea,30.5339933364771
East Asia,2018,Thailand,56.6036421012733
East Asia,2018,Viet Nam,73.747144501994
East Asia,2018,Region average,52.8764488292408
East Asia,2019,Cambodia,67.6870283227188
East Asia,2019,Hong Kong,36.9382947056376
East Asia,2019,Indonesia,73.128061345098
East Asia,2019,Japan,43.9939906133318
East Asia,2019,Philippines,64.0297739194052
East Asia,2019,S Korea,28.4710668582436
East Asia,2019,Thailand,56.0684469796706
East Asia,2019,Viet Nam,73.7602416458235
East Asia,2019,Region average,52.2571565223928
East Asia,2020,Cambodia,71.3795084138324
East Asia,2020,Hong Kong,35.4608715722082
East Asia,2020,Indonesia,73.1166875649878
East Asia,2020,Japan,43.893032299932
East Asia,2020,Philippines,61.6520587982707
East Asia,2020,S Korea,26.4484465112578
East Asia,2020,Viet Nam,73.4588406352659
East Asia,2020,Region average,51.3578477363615
East Asia,2021,Cambodia,71.550044510426
East Asia,2021,Hong Kong,33.0860265519687
East Asia,2021,Indonesia,72.1836769582051
East Asia,2021,Japan,42.8466705619078
East Asia,2021,Philippines,59.1347968029882
East Asia,2021,S Korea,25.0136898140691
East Asia,2021,Viet Nam,71.4986881250972
East Asia,2021,Region average,49.7995369275403
East Asia,2022,Hong Kong,31.3347084137995
East Asia,2022,Indonesia,72.4672406684807
East Asia,2022,Japan,41.7183725962892
East Asia,2022,Philippines,57.8998376314977
East Asia,2022,S Korea,24.2670586994093
East Asia,2022,Viet Nam,69.1023266710138
East Asia,2023,Hong Kong,30.1021585813455
East Asia,2023,Indonesia,72.5067566947425
East Asia,2023,S Korea,23.5844393865578
East Asia,2023,Viet Nam,65.8218299888062
Latin America,1990,Brazil,66.4109337103224
Latin America,1990,Chile,66.3469265822921
Latin America,1991,Brazil,67.304879902957
Latin America,1991,Chile,66.1600203979814
Latin America,1992,Brazil,68.1988260955916
Latin America,1992,Chile,65.9731142136707
Latin America,1993,Brazil,69.9411999204258
Latin America,1993,Chile,65.8610458905147
Latin America,1994,Brazil,69.756201173617
Latin America,1994,Chile,65.7489775673588
Latin America,1995,Brazil,69.5712024268081
Latin America,1995,Chile,65.6369092442028
Latin America,1996,Brazil,66.5063259028266
Latin America,1996,Chile,65.5248409210468
Latin America,1997,Brazil,63.7320476003156
Latin America,1997,Chile,64.8294673697646
Latin America,1997,Panama,61.252167682191
Latin America,1997,Peru,62.8052617099012
Latin America,1998,Brazil,63.382862354927
Latin America,1998,Chile,64.1340938184824
Latin America,1998,Panama,61.4943268306004
Latin America,1998,Paraguay,73.3601953790091
Latin America,1998,Peru,62.5792003888842
Latin America,1999,Brazil,62.9382124226709
Latin America,1999,Chile,63.0693046532364
Latin America,1999,Panama,61.7364859790098
Latin America,1999,Paraguay,73.3503973771623
Latin America,1999,Peru,62.268104165244
Latin America,2000,Brazil,62.8709461898742
Latin America,2000,Chile,62.0045154879903
Latin America,2000,Panama,61.9786451274192
Latin America,2000,Paraguay,71.8377565144336
Latin America,2000,Peru,61.5370503945038
Latin America,2001,Brazil,62.8036799570776
Latin America,2001,Chile,61.3325658355481
Latin America,2001,Costa Rica,64.5558394353322
Latin America,2001,Panama,62.2208042758286
