country,year,index_ch5,base_ch3,level_implied_from_ch5,level_ch3,diff_pp,ratio
Finland,1992,85.7142857142857,65.7548111843551,56.36126672944722,68.9235855256607,-12.562318796213475,0.8177355588743066
Finland,1993,85.7142857142857,65.7548111843551,56.36126672944722,68.6140077925328,-12.25274106308558,0.8214250783872876
Finland,1994,87.5,65.7548111843551,57.53545978631072,67.9799250896819,-10.444465303371182,0.8463595643920994
Finland,1995,84.8214285714286,65.7548111843551,55.774170201015515,67.4758249464216,-11.701654745406081,0.8265800417453563
Finland,1997,82.1428571428571,65.7548111843551,54.012880615720235,67.0863399173957,-13.07345930167547,0.8051248686726241
Finland,1998,83.0357142857143,65.7548111843551,54.59997714415202,66.9828238557768,-12.38284671162478,0.8151340000492254
Finland,1999,83.9285714285714,65.7548111843551,55.18707367258373,66.7888805073602,-11.601806834776475,0.826291341513084
Finland,2000,87.5,65.7548111843551,57.53545978631072,66.5713885306633,-9.035928744352582,0.8642670831450276
Finland,2001,88.3928571428572,65.7548111843551,58.122556314742496,66.5043174636084,-8.381761148865905,0.8739666615862578
Finland,2002,89.2857142857143,65.7548111843551,58.70965284317421,66.4753394303487,-7.765686587174486,0.8831794368600225
Finland,2003,91.0714285714286,65.7548111843551,59.883845900037706,66.3285599768145,-6.444714076776798,0.9028365144814001
Finland,2004,94.6428571428572,65.7548111843551,62.23223201376469,66.2413115488096,-4.009079535044918,0.939477654634135
Finland,2005,100.0,65.7548111843551,65.7548111843551,66.2370274715465,-0.48221628719139176,0.9927198380483101
Finland,2006,98.2142857142857,65.7548111843551,64.5806181274916,66.2553034519815,-1.6746853244899,0.9747237543677748
Finland,2007,98.2142857142857,65.7548111843551,64.5806181274916,66.2901716669089,-1.7095535394172998,0.9742110557805256
Finland,2008,101.785714285714,65.7548111843551,66.9290042412184,66.2219225439426,0.7070816972757967,1.0106774564994938
Finland,2009,101.785714285714,65.7548111843551,66.9290042412184,66.0470267697372,0.8819774714811928,1.013353780096053
Finland,2010,100.0,65.7548111843551,65.7548111843551,65.7548111843551,0.0,1.0
Finland,2011,97.3214285714286,65.7548111843551,63.9935215990599,65.4878861528186,-1.4943645537587003,0.9771810537559337
Finland,2012,94.6428571428572,65.7548111843551,62.23223201376469,65.1728828139573,-2.940650800192614,0.9548792277827114
Finland,2013,88.3928571428571,65.7548111843551,58.122556314742425,64.7307213624839,-6.60816504774148,0.8979130016065079
Finland,2014,81.25,65.7548111843551,53.42578408728852,64.1833768946284,-10.757592807339876,0.832392851111575
Finland,2015,80.3571428571428,65.7548111843551,52.83868755885675,63.5546170392018,-10.715929480345054,0.8313902281287409
Finland,2016,80.3571428571428,65.7548111843551,52.83868755885675,62.8256585861119,-9.986971027255152,0.8410367475325942
Finland,2017,83.0357142857143,65.7548111843551,54.59997714415202,61.7562972023018,-7.156320058149781,0.8841199945212543
Finland,2018,81.25,65.7548111843551,53.42578408728852,60.600474561843,-7.174690474554481,0.8816066948909338
Finland,2019,74.1071428571428,65.7548111843551,48.72901185983455,59.5784096360857,-10.849397776251152,0.8178971569982989
